Region,Country,Project,Funding/Investment,Funding/Investment Million USD Conversion,Status,Operational Year (Actual/Planned),Scale/Capacity,Technology Type,Processing Method,Power Source,By-product,Link,Notes
Asia,China,Qingdao Refining (Sinopec),¥5 billion,690,Operational,2024,23 MW,Not Disclosed,Direct Seawater,Grid,Brine,https://cleantechnica.com/2025/07/07/sinopec-launches-new-floating-solar-project-with-green-hydrogen-in-play/,
Asia,China,Dongfang Electric,¥30 million,4.2,Pilot,2023,Not Disclosed,Not Disclosed,Direct Seawater,Wind,Not Disclosed,https://ce.szu.edu.cn/info/1355/5893.htm,
Oceania,Australia,CSIRO Direct Seawater Electrolysis,"AUD$83,000",0.05365,R&D,2023,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,Not Disclosed,https://pubs.rsc.org/en/content/articlehtml/2025/se/d5se00602c,
Oceania,Australia,Western Green Energy Hub,AUD$28B,28000,Feasibility Studies,2032,28 GW,Not Disclosed,Desalination,Wind & Solar,Brine,https://www.upstreamonline.com/hydrogen/giant-50gw-green-hydrogen-project-proposal-launched-down-under/2-1-1039186,estimated funding towards hydrogen production based on electrolyser capacity
Europe,France,Lhyfe - Le Havre,€149 million,171.89,In Development,2029,100 MW,Not Disclosed,Desalination,Wind & Solar,Not Dislosed,https://www.lhyfe.com/press/lhyfe-confirms-record-e149-million-subsidy-from-the-french-government-for-one-of-its-largest-upcoming-production-sites/,
Europe,Belgium,HOPE Project (Lhyfe - Belgian Operation),€20 million,23.3,In Development,2026,10 MW,Not Disclosed,Desalination,Wind,Oxygen,https://renews.biz/86640/offshore-hydrogen-project-secures-20m-grant/,
Europe,Netherlands,PosHYdon,€3.6 million,4.2,Pilot,2024,1.25 MW,PEM Electrolysers,Desalination,Wind,Oxygen,https://www.offshore-energy.biz/netherlands-grants-poshydon-offshore-green-hydrogen-project/,
Europe,Netherlands,Sea2H2,Not disclosed/Private investment,Not disclosed/Private investment,Research Completed,2022,Not Disclosed,PEM Electrolysers,Direct Electrolysis,Wind,"Brine,Oxygen",https://www.wur.nl/en/project/hydrogen-from-seawater.htm,
Europe,UK,HydroPort - SeaStack,"£630,000",0.82,Pilot,2025,5 MW,"Catrodes made from metals, stainless steel",Direct Seawater,Renewable Energy,"Brine,Oxygen",https://latentdrive.co.uk/hydroport-project/,
Europe,UK,Tees Valley Hydrogen Innovation Project - Torvex Energy,Not disclosed/Private investment,Not disclosed/Private investment,R&D,2025,25kW/h/kgH2,Hybrid electrolysis,Hybrid electrolysis,Research,Research,"https://hydrogen-innovation.co.uk/teesside-and-durham-universities-embark-on-11million-project-to-support-hydrogen-innovation-in-the-tees-valley/#:~:text=Navigation-,Teesside%20and%20Durham%20Universities%20embark%20on%20%C2%A311million%20project%20to,high%2Dvalue%2Dadded%20jobs.",
Europe,Ireland,ASTERISK,€4 million,4.662,R&D,2025,5 kWe,Anion Exchange Membrane,Minimal Pretreatment,Renewables,Oxygen,https://asteriskproject.eu/,
Europe,UK,GH2DEM,£1.44 m,1.88,R & D,2026,Not Disclosed,Not Disclosed,Direct Electrolysis,Renewables,Not Disclosed,"https://www.brunel.ac.uk/news-and-events/news/articles/Salt-water-fuel-signals-shift-to-clean-shipping#:~:text=project%20is%20Britain's%20first%20all%2Din%2Done%20hydrogen%20maritime,from%20seawater%2C%20then%20stores%20it%20safely%20at",
Europe,UK,Milford Haven: Hydrogen Kingdom (Dolphyn Hydrogen),£4.5 M,5.88,Field Trials,2030,15 MW,FLO-electrolysis,Desalination,Wind,"Brine,Oxygen",https://celticseapower.co.uk/milford-haven-hydrogen-kingdom/,
Europe,UK,Repurposing the economy future of the North Sea (UK-HyRES),£300k,0.39,R&D,2024,Research,Research,Research,Research,Research,https://www.abdn.ac.uk/news/24111/,here either keep UK-HyRES or the row below. Only one of their projects is publicly disclosed as seawater hydrogen related. Their other projects may be but not publicly disclosed. We estimate £300k allocated to research on sewater electrolysis minimum.
Europe,UK,Decoupled Seawater Electrolysis (UK-HyRES),£300k,0.39,R&D,2025,Research,Research,Research,Research,Research,https://ukhyres.ac.uk/uk-hyres-flexible-fund-call-announcement-of-funded-projects/,Estimate from UK-HyRES total funding
Europe,Germany,SalYsAse ,"733,000 EUR",0.85,R&D,2025,Research,Biocatalysts,Direct Electrolysis,Research,Research,"https://www.geomar.de/en/news/article/green-hydrogen-from-the-ocean#:~:text=New%20research%20project%20on%20hydrogen,hydrogen%20by%20means%20of%20electrolysis.",
Europe,Germany,"AquaVentus (AquaSector, AquaDuctus)",200 M EUR,230.6,In Development,2030,300 MW,Not Disclosed,Desalination,Wind,"Brine,Oxygen",https://renewablesnow.com/news/lower-saxony-to-fund-hydrogen-pipeline-project-in-north-sea-1269117/,
North America,USA,Ohmium & Aquastill,$125 M,125,R&D,Not Disclosed,Not Disclosed,PEM Electrolysers,Desalination,Wind,"Brine,Oxygen",https://ohmium.com/news/ohmium-raises-250-million-in-series-c-financing-to-expand-green-hydrogen-production-globally/,"funding split between 2 Ohmium projects, allocation not disclosed"
North America,USA,"Cornell University (Wang et al., 2025)",$1 M,1,R&D,2025,Research,Research,Research,Solar,Research,https://pubs.rsc.org/en/content/articlehtml/2025/ee/d4ee06203e,
Middle East,Oman,"Green Energy Oman (Shell, OQ, InterContinental Energy, EnerTech)",30 Billion USD,30000,In Development,2030,25 GW,Not Disclosed,Desalination,Wind & Solar,"Brine,Oxygen",https://geo.om/about-us.php,
Africa,Mauritania,"Conjuncta, Masdar & Infinity ",34000 M USD,34000,In Development,2028,400 MW,Not Disclosed,Desalination,Wind & Solar,Brine,https://www.reuters.com/business/energy/german-uae-egypt-consortium-sign-34-bln-deal-hydrogen-project-mauritania-faz-2023-03-08/,
Africa,Mauritania,"Project Nour (Chariot Energy, TEH2, TotalEnergies, EREN)",3500 M USD,3500,In Development,2030,1.6 GW,Not Disclosed,Desalination,Wind & Solar,Brine,https://www.rechargenews.com/energy-transition/saudi-arabias-8bn-neom-green-mega-plant-is-no-vanity-exercise-says-project-chief/2-1-1554550,
Africa,Mauritania,AMAN Project (CWP),4.2 B USD,42000,Feasability,2029,15 GW,unipolar alkaline,Desalination,Wind & Solar,Not Disclosed,"case study in docs https://rskgroup.com/projects/the-aman-project-accelerating-the-green-energy-transition-in-mauritania/#:~:text=Sustainable%20development%20goals,opportunities%20presented%20by%20the%20development.",
Africa,Mauritania,Megaton Moon (GreenGo Energy),Not disclosed/Private investment,Not disclosed/Private investment,In Development,2029,500 MW,Not Disclosed,Desalination,Renewables,"Brine,Oxygen","https://www.greengoenergy.com/news/megaton-moon-concession-250217#:~:text=GreenGo%20Energy%20secures%20first%20African,a%20role%20in%20this%20journey.%E2%80%9D",
Africa,Mauritania,Hynfra,1.5 B USD,1500,Feasability Studies,2030,173 MW,Not Disclosed,Desalination,Wind,Not Disclosed,"https://www.offshore-energy.biz/hynfra-signs-agreement-for-1-5-billion-green-ammonia-project-in-mauritania/#:~:text=Polish%20energy%20company%20Hynfra%20has,a%20project%20of%20global%20significance.%E2%80%9D   https://www.hynfra.com/mauritania#:~:text=552%20MW,%E2%80%8B",
Middle East,Saudi Arabia,NEOM Green Hydrogen Project,$8.4B,8400,In Development,2027,2.2 GW,Alkaline,Desalination,Wind & Solar,Brine,https://www.oecd.org/content/dam/oecd/en/about/programmes/cefim/green-hydrogen/NEOM-case-study.pdf,
Africa,Egypt,Scatec Green Hydrogen Egypt,$520 million,520,In Development,2026,70 MW,Not Disclosed,Desalination,Wind & Solar,Brine,https://www.oecd.org/content/dam/oecd/en/about/programmes/cefim/green-hydrogen/2024-case-studies/Scatec-Egypt-case-study-2024.pdf,
